Title,tags
The Shawshank Redemption,drama crime timrobbin morganfreeman bobgunton nikimarvin imprison 1940 doubl murder wife lover upstand banker andi dufresn begin new life shawshank prison put account skill work amor warden dure long stretch prison dufresn come admir inmat includ older prison name red integr unquench sens hope prison friendship policebrut corrupt basedonnovelorbook hope prisoncel delinqu redempt paroleboard prisonescap wrongfulimprison interracialfriendship framedformurd 1940 voiceov hope
The Godfather,drama crime marlonbrando alpacino jamescaan albertsruddi span year 1945 1955 chronicl fiction italianamerican corleon crime famili when organ crime famili patriarch vito corleon bare surviv attempt life youngest son michael step take care wouldb killer launch campaign bloodi reveng basedonnovelorbook lossoflovedon loveatfirstsight itali symbol patriarch europ organizedcrim mafia religion lawyer revengemot crimefamili sicilianmafia religioushypocrisi gunviol risetopow deadhors gangviol 1940 1950 mafiawar
The Godfather Part II,drama crime alpacino robertduval dianekeaton francisfordcoppola in continu saga corleon crime famili young vito corleon grow sicili 1910 new york in 1950 michael corleon attempt expand famili busi la vega hollywood cuba italianamerican cuba itali gangster prais symbol reveng organizedcrim mafia lawyer suburb corruptpolitician complic
Schindler's List,drama histori war liamneeson benkingsley ralphfienn geraldrmolen the true stori businessman oskar schindler save thousand jewish live nazi work slave factori world war ii factori hero basedonnovelorbook nazi concentrationcamp ssnazischutzstaffel holocaustshoah worldwarii ghetto jewpersecut krakówpoland defenseindustri auschwitzbirkenauconcentrationcamp biographi basedontruestori industrialist historicalfict blackandwhit train poland weaponsmanufactur earnest tragic
12 Angry Men,drama martinbalsam johnfiedl leejcobb reginaldros the defens prosecut rest juri file juri room decid young spanishamerican guilti innoc murder father what begin open shut case soon becom minidrama juror prejudic preconcept trial accus other deathpenalti anonym courtcas court judg juror fathermurd class heat innoc puertorico basedonplayormus courtroom blunt hostil courtroomdrama cautionari provoc dramat suspens tens antagonist callou doubt inflammatori skeptic
Dilwale Dulhania Le Jayenge,comedi drama romanc kajol shahrukhkhan amrishpuri adityachopra raj rich carefre happygolucki second gener nri simran daughter chaudhari baldev singh spite nri strict adher indian valu simran left india marri childhood fiancé raj leav india mission hand claim ladi love nose whole famili thu begin saga familysdailylif familyhistori lovehaterelationship familydrama loveaffair
Spirited Away,anim famili fantasi rumihiiragi miyuirino marinatsuki hayaomiyazaki a young girl chihiro becom trap strang new world spirit when parent undergo mysteri transform must call upon courag never knew free famili witch parentchildrelationship dark bathhous magic spirit parallelworld amusementpark youkai japanesemytholog anim
The Dark Knight,drama action crime thriller christianbal heathledg michaelcain emmathoma batman rais stake war crime with help lt jim gordon district attorney harvey dent batman set dismantl remain crimin organ plagu street the partnership prove effect soon find prey reign chao unleash rise crimin mastermind known terrifi citizen gotham joker joker sadism chao secretident crimefight superhero antihero scarecrow basedoncom vigilant organizedcrim tragichero antivillain criminalmastermind districtattorney superpow supervillain neonoir intens sexymaninfurycostum
Parasite,comedi thriller drama songkangho leesunkyun choyeojeong jangyounghwan all unemploy kitaek famili take peculiar interest wealthi glamor park livelihood get entangl unexpect incid darkcomedi melancholi privatelesson birthdayparti conartist workingclass psychologicalthril classdiffer housekeep tutor famili crimefamili unemploy shock angri wealthyfamili complex southkorea seoulsouthkorea hilari exhilar
The Green Mile,fantasi drama crime tomhank michaelclarkeduncan davidmors frankdarabont a supernatur tale set death row southern prison gentl giant john coffey possess mysteri power heal peopl ailment when cell block head guard paul edgecomb recogn coffey miracul gift tri desper help stave condemn man execut mentallydis basedonnovelorbook southernusa psychopath deathrow jailguard supernatur greatdepress prisonguard jail electricchair tortur magicr heal 1930 abuseofpow
